SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
728TS35,Telangana State,SG,100,100,100,7.28,14-JAN-2022,,12-JAN-2035,,,,,IN4520210233
728TS38,Telangana State,SG,100,100,100,7.28,19-AUG-2024,,14-AUG-2038,,,,,IN4520240263
728TS45,Telangana State,SG,100,100,100,7.28,19-AUG-2024,,14-AUG-2045,,,,,IN4520240271
728TS46,Telangana State,SG,100,100,100,7.28,09-AUG-2024,,07-AUG-2046,,,,,IN4520240248
728UP29,Uttar Pradesh State,SG,100,100,100,7.28,27-JUL-2020,,13-NOV-2029,,,,,IN3320190124
728UP32,Uttar Pradesh State,SG,100,100,100,7.28,28-JAN-2022,,25-JAN-2032,,,,,IN3320210229
728WB39,West Bengal State,SG,100,100,100,7.28,17-MAR-2025,,12-MAR-2039,,,,,IN3420240258
72959ABC28,Aditya Birla Capital Limited,N0,100000,100000,1,7.3,04-AUG-2025,,15-SEP-2028,,,,,INE674K07069
729AP30,Andhra Pradesh State,SG,100,100,100,7.29,27-JUL-2020,,15-JAN-2030,,,,,IN1020190410
729AP34,Andhra Pradesh State,SG,100,100,100,7.29,12-APR-2022,,08-APR-2034,,,,,IN1020220019
729BR30,Bihar State,SG,100,100,100,7.29,27-JUL-2020,,15-JAN-2030,,,,,IN1320190177
729CG30,Chattisgarh State,SG,100,100,100,7.29,09-JUN-2023,,07-JUN-2030,,,,,IN3520230019
729GA29,Goa State,SG,100,100,100,7.29,27-JUL-2020,,11-DEC-2029,,,,,IN1420190135
729GA29A,Goa State,SG,100,100,100,7.29,27-JUL-2020,,18-DEC-2029,,,,,IN1420190143
729GJ32,Gujarat State,SG,100,100,100,7.29,01-APR-2022,,30-MAR-2032,,,,,IN1520210239
729GR2033,Government of India,GS,100,100,1,7.29,11-APR-2023,,27-JAN-2033,,,,,IN0020220144
729HP31,Himachal Pradesh State,SG,100,100,100,7.29,09-JUN-2023,,07-JUN-2031,,,,,IN1720230029
729HR29,Haryana State,SG,100,100,100,7.29,02-JUN-2023,,31-MAY-2029,,,,,IN1620230061
729HR37,Haryana State,SG,100,100,100,7.29,31-OCT-2025,,29-OCT-2037,,,,,IN1620250218
729IRFC26,Indian Railway Finance Corporation Limited,NN,1000,1000,1,7.29,28-MAR-2016,,22-MAR-2026,,,,,INE053F07892
729JK45,Jammu & Kashmir State,SG,100,100,100,7.29,09-AUG-2024,,07-AUG-2045,,,,,IN4920240129
729KA34,Karnataka State,SG,100,100,100,7.29,14-JAN-2022,,12-JAN-2034,,,,,IN1920210250
729KA36,Karnataka State,SG,100,100,100,7.29,05-MAR-2021,,03-MAR-2036,,,,,IN1920200624
729KA37,Karnataka State,SG,100,100,100,7.29,05-MAR-2021,,03-MAR-2037,,,,,IN1920200632
729KA39,Karnataka State,SG,100,100,100,7.29,15-MAR-2021,,10-MAR-2039,,,,,IN1920200673
729KL49,Kerala State,SG,100,100,100,7.29,26-MAY-2023,,24-MAY-2049,,,,,IN2020230024
729KL51,Kerala State,SG,100,100,100,7.29,09-JUN-2023,,07-JUN-2051,,,,,IN2020230040
729MH35,Maharashtra State,SG,100,100,100,7.29,12-DEC-2025,,10-DEC-2035,,,,,IN2220250400
729MH50,Maharashtra State,SG,100,100,100,7.29,27-OCT-2025,,23-OCT-2050,,,,,IN2220250350
729ML29,Meghalaya State,SG,100,100,100,7.29,27-JUL-2020,,18-DEC-2029,,,,,IN2420190059
729MP30,Madhya Pradesh State,SG,100,100,100,7.29,27-JUL-2020,,15-JAN-2030,,,,,IN2120190102
729MP35,Madhya Pradesh State,SG,100,100,100,7.29,27-JUL-2020,,18-MAR-2035,,,,,IN2120190193
729MZ33,Mizoram State,SG,100,100,100,7.29,28-JAN-2022,,25-JAN-2033,,,,,IN2520210054
729NHAI26,National Highways Authority of India,NC,1000,1000,1,7.29,11-MAR-2016,,09-MAR-2026,,,,,INE906B07EN0
729NHB31,National Housing Bank,N0,100000,100000,1,7.29,29-JAN-2025,,04-JUL-2031,,,,,INE557F08GC8
729NL29,Nagaland State,SG,100,100,100,7.29,27-JUL-2020,,18-DEC-2029,,,,,IN2620190040
729PN33,Punjab State,SG,100,100,100,7.29,28-NOV-2025,,26-NOV-2033,,,,,IN2820250131
729PY26,Puducherry - Union Territory,SG,100,100,100,7.29,15-MAR-2024,,13-MAR-2026,,,,,IN3820230040
729RJ32,Rajasthan State,SG,100,100,100,7.29,01-APR-2022,,30-MAR-2032,,,,,IN2920210563
729RJ34,Rajasthan State,SG,100,100,100,7.29,02-AUG-2024,,31-JUL-2034,,,,,IN2920240206
729RJ37,Rajasthan State,SG,100,100,100,7.29,21-NOV-2025,,19-NOV-2037,,,,,IN2920250296
729TN53,Tamilnadu State,SG,100,100,100,7.29,09-JUN-2023,,07-JUN-2053,,,,,IN3120230062
729TN54,Tamilnadu State,SG,100,100,100,7.29,02-AUG-2024,,31-JUL-2054,,,,,IN3120240194
729TR36,Tripura State,SG,100,100,100,7.29,15-MAR-2021,,10-MAR-2036,,,,,IN3220200064
729TS40,Telangana State,SG,100,100,100,7.29,09-AUG-2024,,07-AUG-2040,,,,,IN4520240222
729TS42,Telangana State,SG,100,100,100,7.29,09-AUG-2024,,07-AUG-2042,,,,,IN4520240230
729UK29,Uttarakhand State,SG,100,100,100,7.29,27-JUL-2020,,18-DEC-2029,,,,,IN3620190071
729UP29,Uttar Pradesh State,SG,100,100,100,7.29,27-JUL-2020,,18-DEC-2029,,,,,IN3320190157
729WB29,West Bengal State,SG,100,100,100,7.29,27-JUL-2020,,18-DEC-2029,,,,,IN3420190156
729WB38,West Bengal State,SG,100,100,100,7.29,17-MAR-2025,,12-MAR-2038,,,,,IN3420240241
72AP30,Andhra Pradesh State,SG,100,100,100,7.2,27-JUL-2020,,27-NOV-2030,,,,,IN1020190360
72AP36,Andhra Pradesh State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2036,,,,,IN1020240736
72AS29,Assam State,SG,100,100,100,7.2,27-JUL-2020,,27-NOV-2029,,,,,IN1220190111
72AS40,Assam State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2040,,,,,IN1220240189
72AS45,Assam State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2045,,,,,IN1220240197
72CG34,Chattisgarh State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2034,,,,,IN3520240042
72GA31,Goa State,SG,100,100,100,7.2,26-FEB-2021,,24-FEB-2031,,,,,IN1420200272
72HP35,Himachal Pradesh State,SG,100,100,100,7.2,27-JUL-2020,,08-JAN-2035,,,,,IN1720190090
72JH35,Jharkhand State,SG,100,100,100,7.2,26-FEB-2021,,24-FEB-2035,,,,,IN3720200051
72JK29,Jammu & Kashmir State,SG,100,100,100,7.2,27-JUL-2020,,04-DEC-2029,,,,,IN1820190131
72JK47,Jammu & Kashmir State,SG,100,100,100,7.2,17-JAN-2025,,15-JAN-2047,,,,,IN4920240228
72KA31,Karnataka State,SG,100,100,100,7.2,27-JUL-2020,,05-FEB-2031,,,,,IN1920190163
72KA37,Karnataka State,SG,100,100,100,7.2,03-MAR-2025,,27-AUG-2037,,,,,IN1920240281
72KL42,Kerala State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2042,,,,,IN2020240270
72KL56,Kerala State,SG,100,100,100,7.2,02-JUL-2021,,30-JUN-2056,,,,,IN2020210091
72MH28,Maharashtra State,SG,100,100,100,7.2,26-MAY-2023,,24-MAY-2028,,,,,IN2220230030
72MH34,Maharashtra State,SG,100,100,100,7.2,05-DEC-2025,,03-DEC-2034,,,,,IN2220250384
72MH36,Maharashtra State,SG,100,100,100,7.2,27-OCT-2025,,23-OCT-2036,,,,,IN2220250343
72ML29,Meghalaya State,SG,100,100,100,7.2,27-JUL-2020,,04-DEC-2029,,,,,IN2420190042
72MN40,Manipur State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2040,,,,,IN2320240061
72MP33,Madhya Pradesh State,SG,100,100,100,7.2,05-DEC-2025,,03-DEC-2033,,,,,IN2120250252
72MZ29,Mizoram State,SG,100,100,100,7.2,27-JUL-2020,,04-DEC-2029,,,,,IN2520190041
72MZ31,Mizoram State,SG,100,100,100,7.2,23-AUG-2024,,21-AUG-2031,,,,,IN2520240044
72NL29,Nagaland State,SG,100,100,100,7.2,27-JUL-2020,,27-NOV-2029,,,,,IN2620190032
72OR32,Orissa State,SG,100,100,100,7.2,07-MAR-2025,,05-MAR-2032,,,,,IN2720240109
72OR45,Orissa State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2045,,,,,IN2720240091
72RJ42,Rajasthan State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2042,,,,,IN2920240461
72RJ46,Rajasthan State,SG,100,100,100,7.2,05-MAR-2021,,03-MAR-2046,,,,,IN2920200754
72SK35,Sikkim State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2035,,,,,IN3020240021
72TN31,Tamilnadu State,SG,100,100,100,7.2,27-JUL-2020,,27-NOV-2031,,,,,IN3120190233
72TN35,Tamilnadu State,SG,100,100,100,7.2,05-DEC-2025,,03-DEC-2035,,,,,IN3120250466
72TN36,Tamilnadu State,SG,100,100,100,7.2,21-NOV-2025,,19-NOV-2036,,,,,IN3120250417
72TN55,Tamilnadu State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2055,,,,,IN3120240590
72TS51,Telangana State,SG,100,100,100,7.2,15-MAR-2021,,10-MAR-2051,,,,,IN4520200358
72UP31,Uttar Pradesh State,SG,100,100,100,7.2,26-FEB-2021,,24-FEB-2031,,,,,IN3320200303
72UP40,Uttar Pradesh State,SG,100,100,100,7.2,03-MAR-2025,,27-FEB-2040,,,,,IN3320240085
72WB30,West Bengal State,SG,100,100,100,7.2,27-JUL-2020,,18-MAR-2030,,,,,IN3420190230
73064ABH28,ADITYA BIRLA HOUSING FINANCE LIMITED,N0,100000,100089.85,1,7.3,26-MAY-2025,,22-MAY-2028,,,,,INE831R07581
730AS29,Assam State,SG,100,100,100,7.3,27-JUL-2020,,13-NOV-2029,,,,,IN1220190095
730BTL27,Bharti Telecom Limited,N0,100000,100000,1,7.3,04-DEC-2025,,01-DEC-2027,,,,,INE403D08306
730JK29,Jammu & Kashmir State,SG,100,100,100,7.3,27-JUL-2020,,06-NOV-2029,,,,,IN1820190115
730KA32,Karnataka State,SG,100,100,100,7.3,11-FEB-2022,,09-FEB-2032,,,,,IN1920210342
730KL52,Kerala State,SG,100,100,100,7.3,02-AUG-2024,,31-JUL-2052,,,,,IN2020240098
730MH38,Maharashtra State,SG,100,100,100,7.3,02-AUG-2024,,31-JUL-2038,,,,,IN2220240070
730MH39,Maharashtra State,SG,100,100,100,7.3,02-AUG-2024,,31-JUL-2039,,,,,IN2220240088
730NIIF28,NIIF Infrastructure Finance Limited,N0,100000,100000,1,7.31,27-JUN-2025,,17-AUG-2028,,,,,INE246R07806
730PFCL34,Power Finance Corporation Limited,N0,100000,100000,1,7.3,06-SEP-2024,,16-OCT-2034,,,,,INE134E08NC5
730PN31,Punjab State,SG,100,100,100,7.3,27-JUL-2020,,13-NOV-2031,,,,,IN2820190089
730SICC28,SMFG India Credit Company Limited,N0,100000,3000,1,7.3,30-JUN-2025,,26-JUN-2028,,,,,INE535H07CP3
730SICC28A,SMFG India Credit Company Limited,N0,100000,100000,1,7.3,14-JUL-2025,,10-JUL-2028,,,,,INE535H07CQ1
730SIHF28,SMFG India Home Finance Company Limited,N0,100000,3000,1,7.3,17-OCT-2025,,13-OCT-2028,,,,,INE213W07343
730WB29,West Bengal State,SG,100,100,100,7.3,27-JUL-2020,,13-NOV-2029,,,,,IN3420190115
731AP42,Andhra Pradesh State,SG,100,100,100,7.31,11-MAR-2022,,09-MAR-2042,,,,,IN1020210556
731AP44,Andhra Pradesh State,SG,100,100,100,7.31,28-JUN-2024,,26-JUN-2044,,,,,IN2920240164
731BR45,Bihar State,SG,100,100,100,7.31,17-OCT-2025,,15-OCT-2045,,,,,IN1320250161
731JK45,Jammu & Kashmir State,SG,100,100,100,7.31,17-OCT-2025,,15-OCT-2045,,,,,IN4920250151
731KA35,Karnataka State,SG,100,100,100,7.31,14-JAN-2022,,12-JAN-2035,,,,,IN1920210268
731KL32,Kerala State,SG,100,100,100,7.31,01-APR-2022,,30-MAR-2032,,,,,IN2020210208
731KL40,Kerala State,SG,100,100,100,7.31,09-AUG-2024,,07-AUG-2040,,,,,IN2020240106
731MN37,Manipur State,SG,100,100,100,7.31,28-NOV-2025,,26-NOV-2037,,,,,IN2320250052
731MZ41,Mizoram State,SG,100,100,100,7.31,10-OCT-2025,,08-OCT-2041,,,,,IN2520250050
731PY35,Puducherry - Union Territory,SG,100,100,100,7.31,14-JAN-2022,,12-JAN-2035,,,,,IN3820210067
731RECL39,REC Limited,N0,100000,100000,1,7.31,29-AUG-2024,,30-SEP-2039,,,,,INE020B08FI5
731SDIL40,Summit Digitel Infrastructure Limited,N0,100000,100000,1,7.31,08-MAY-2025,,04-MAY-2040,,,,,INE507T07161
731TN33,Tamilnadu State,SG,100,100,100,7.31,23-JAN-2026,,21-JAN-2033,,,,,IN3120250631
731TN34,Tamilnadu State,SG,100,100,100,7.31,05-SEP-2025,,03-SEP-2034,,,,,IN3120250250
731TN54,Tamilnadu State,SG,100,100,100,7.31,12-JUL-2024,,10-JUL-2054,,,,,IN3120240145
731TS42,Telangana State,SG,100,100,100,7.31,28-JUN-2024,,26-JUN-2042,,,,,IN3420240035
731TS50,Telangana State,SG,100,100,100,7.31,02-AUG-2024,,31-JUL-2050,,,,,IN4520240214
731TS60,Telangana State,SG,100,100,100,7.31,27-JUL-2020,,15-JAN-2060,,,,,IN4520190153
731WB34,West Bengal State,SG,100,100,100,7.31,27-JUL-2020,,11-DEC-2034,,,,,IN3420190149
732AP43,Andhra Pradesh State,SG,100,100,100,7.32,19-MAY-2023,,17-MAY-2043,,,,,IN1020230133
732AS32,Assam State,SG,100,100,100,7.32,11-FEB-2022,,09-FEB-2032,,,,,IN1220210216
732CG37,Chattisgarh State,SG,100,100,100,7.32,07-MAR-2025,,05-MAR-2037,,,,,IN3520240083
732GS2030,Government of India,GS,100,100,1,7.32,15-NOV-2023,,13-NOV-2030,,,,,IN0020230135
732HR33,Haryana State,SG,100,100,100,7.32,09-JUN-2023,,07-JUN-2033,,,,,IN1620230087
732HR36,Haryana State,SG,100,100,100,7.32,12-JUL-2024,,10-JUL-2036,,,,,IN1620240086
732HR36A,Haryana State,SG,100,100,100,7.32,22-JUL-2024,,18-JUL-2036,,,,,IN1620240094
732IREDA29,Indian Renewable Energy Development Agency Limited,N0,100000,100000,1,7.32,06-NOV-2024,,04-NOV-2029,,,,,INE202E08243
732KA33,Karnataka State,SG,100,100,100,7.32,29-DEC-2025,,24-DEC-2033,,,,,IN1920250025
732KA33A,Karnataka State,SG,100,100,100,7.32,23-JAN-2026,,21-JUL-2033,,,,,IN1920250116
732KA34,Karnataka State,SG,100,100,100,7.32,04-FEB-2022,,02-FEB-2034,,,,,IN1920210334
732KL41,Kerala State,SG,100,100,100,7.32,28-JUN-2024,,26-JUN-2041,,,,,IN2020240064
732KL53,Kerala State,SG,100,100,100,7.32,02-JUN-2023,,31-MAY-2053,,,,,IN2020230032
732MH32,Maharashtra State,SG,100,100,100,7.32,02-JUN-2023,,31-MAY-2032,,,,,IN2220230063
732MPL30,MAITHON POWER LIMITED,N0,100000,100000,1,7.32,24-NOV-2025,,19-NOV-2030,,,,,INE082G08038
732PFCL39,Power Finance Corporation Limited,N0,100000,100000,1,7.32,26-AUG-2024,,15-JUL-2039,,,,,INE134E08NB7
732RJ34,Rajasthan State,SG,100,100,100,7.32,12-JUL-2024,,10-JUL-2034,,,,,IN2920240172
732RJ35,Rajasthan State,SG,100,100,100,7.32,26-SEP-2025,,24-SEP-2035,,,,,IN2920250205
732RL35,REC Limited,N0,100000,100000,1,7.32,21-MAR-2025,,28-FEB-2035,,,,,INE020B08FQ8
732TN33,Tamilnadu State,SG,100,100,100,7.32,26-MAY-2023,,24-MAY-2033,,,,,IN3120230047
732TN53,Tamilnadu State,SG,100,100,100,7.32,02-JUN-2023,,31-MAY-2053,,,,,IN3120230054
732TS36,Telangana State,SG,100,100,100,7.32,22-JUL-2024,,18-JUL-2036,,,,,IN4520240164
732TS48,Telangana State,SG,100,100,100,7.32,19-MAY-2023,,17-MAY-2048,,,,,IN4520230041
732TS49,Telangana State,SG,100,100,100,7.32,02-JUN-2023,,31-MAY-2049,,,,,IN4520230058
732WB38,West Bengal State,SG,100,100,100,7.32,07-MAR-2025,,05-MAR-2038,,,,,IN3420240225
733AP33,Andhra Pradesh State,SG,100,100,100,7.33,09-JUN-2023,,07-JUN-2033,,,,,IN1020230182
733AP39,Andhra Pradesh State,SG,100,100,100,7.33,02-AUG-2024,,31-JUL-2039,,,,,IN1020240421
733AP40,Andhra Pradesh State,SG,100,100,100,7.33,22-JUL-2024,,18-JUL-2040,,,,,IN1020240413
733AP42,Andhra Pradesh State,SG,100,100,100,7.33,09-JUN-2023,,07-JUN-2042,,,,,IN1020230208
733AP43,Andhra Pradesh State,SG,100,100,100,7.33,09-JUN-2023,,07-JUN-2043,,,,,IN1020230216
733AP43A,Andhra Pradesh State,SG,100,100,100,7.33,22-JUL-2024,,18-JUL-2043,,,,,IN1020240405
733AS32,Assam State,SG,100,100,100,7.33,01-APR-2022,,30-MAR-2032,,,,,IN1220210257
733GA39,Goa State,SG,100,100,100,7.33,12-JUL-2024,,10-JUL-2039,,,,,IN1420240013
733GS2026,Government of India,GS,100,100,1,7.33,31-OCT-2023,,30-OCT-2026,,,,,IN0020230119
733HR36,Haryana State,SG,100,100,100,7.33,28-JUN-2024,,26-JUN-2036,,,,,IN1620240078
733JH34,Jharkhand State,SG,100,100,100,7.33,19-SEP-2025,,17-SEP-2034,,,,,IN3720250015
733JK51,Jammu & Kashmir State,SG,100,100,100,7.33,21-JUN-2024,,19-JUN-2051,,,,,IN4920240061
733KA37,Karnataka State,SG,100,100,100,7.33,21-JAN-2022,,19-JAN-2037,,,,,IN1920210284
733KA40,Karnataka State,SG,100,100,100,7.33,21-JAN-2022,,19-JAN-2040,,,,,IN1920210292
733KL54,Kerala State,SG,100,100,100,7.33,26-JUL-2024,,24-JUL-2054,,,,,IN2020240080
733MH31,Maharashtra State,SG,100,100,100,7.33,02-JUN-2023,,31-MAY-2031,,,,,IN2220230055
733MH44,Maharashtra State,SG,100,100,100,7.33,02-AUG-2024,,31-JUL-2044,,,,,IN2220240096
733MP42,Madhya Pradesh State,SG,100,100,100,7.33,21-JAN-2022,,19-JAN-2042,,,,,IN2120210058
733NL33,Nagaland State,SG,100,100,100,7.33,26-MAY-2023,,24-MAY-2033,,,,,IN2620230028
733RJ43,Rajasthan State,SG,100,100,100,7.33,28-JUN-2024,,26-JUN-2043,,,,,IN2920240156
733RJ44,Rajasthan State,SG,100,100,100,7.33,28-JUN-2024,,26-JUN-2044,,,,,IN1020240348
733TN32,Tamilnadu State,SG,100,100,100,7.33,26-JUL-2024,,24-JUL-2032,,,,,IN3120240152
733TN33,Tamilnadu State,SG,100,100,100,7.33,19-MAY-2023,,17-MAY-2033,,,,,IN3120230039
733TN52,Tamilnadu State,SG,100,100,100,7.33,04-FEB-2022,,02-FEB-2052,,,,,IN3120210312
733TN52A,Tamilnadu State,SG,100,100,100,7.33,11-MAR-2022,,09-MAR-2052,,,,,IN3120210411
733TN54,Tamilnadu State,SG,100,100,100,7.33,27-JUL-2020,,04-DEC-2054,,,,,IN3120190241
733TN57,Tamilnadu State,SG,100,100,100,7.33,11-MAR-2022,,09-MAR-2057,,,,,IN3120210429
733TS40,Telangana State,SG,100,100,100,7.33,22-JUL-2024,,18-JUL-2040,,,,,IN4520240172
733TS42,Telangana State,SG,100,100,100,7.33,26-JUL-2024,,24-JUL-2042,,,,,IN4520240206
733TS60,Telangana State,SG,100,100,100,7.33,18-AUG-2025,,13-AUG-2060,,,,,IN4520250304
733UP33,Uttar Pradesh State,SG,100,100,100,7.33,26-MAY-2023,,24-MAY-2033,,,,,IN3320230029
734AP29,Andhra Pradesh State,SG,100,100,100,7.34,12-MAY-2023,,10-MAY-2029,,,,,IN1020230075
734AP35,Andhra Pradesh State,SG,100,100,100,7.34,28-JUN-2024,,26-JUN-2035,,,,,IN1020240330
734AP40,Andhra Pradesh State,SG,100,100,100,7.34,12-APR-2022,,08-APR-2040,,,,,IN1020220027
734AP44,Andhra Pradesh State,SG,100,100,100,7.34,02-AUG-2024,,31-JUL-2044,,,,,IN1020240439
734AP48,Andhra Pradesh State,SG,100,100,100,7.34,31-MAY-2024,,29-MAY-2048,,,,,IN1020240249
734AP49,Andhra Pradesh State,SG,100,100,100,7.34,31-MAY-2024,,29-MAY-2049,,,,,IN1020240256
734AP49A,Andhra Pradesh State,SG,100,100,100,7.34,02-AUG-2024,,31-JUL-2049,,,,,IN1020240447
734AS33,Assam State,SG,100,100,100,7.34,26-MAY-2023,,24-MAY-2033,,,,,IN1220230040
734AS33A,Assam State,SG,100,100,100,7.34,09-JUN-2023,,07-JUN-2033,,,,,IN1220230057
734AS35,Assam State,SG,100,100,100,7.34,07-MAR-2025,,05-MAR-2035,,,,,IN1220240205
734CG40,Chattisgarh State,SG,100,100,100,7.34,27-OCT-2025,,23-OCT-2040,,,,,IN3520250017
734GA32,Goa State,SG,100,100,100,7.34,01-APR-2022,,30-MAR-2032,,,,,IN1420210198
734GA35,Goa State,SG,100,100,100,7.34,19-DEC-2025,,17-DEC-2035,,,,,IN1420250137
734GS2064,Government of India,GS,100,100,1,7.34,23-APR-2024,,22-APR-2064,,,,,IN0020240035
734HR31,Haryana State,SG,100,100,100,7.34,16-JUN-2023,,14-JUN-2031,,,,,IN1620230095
734HR36,Haryana State,SG,100,100,100,7.34,02-AUG-2024,,31-JUL-2036,,,,,IN1620240102
734IRFC28,Indian Railway Finance Corporation Limited,N4,1000,1000,1,7.34,22-FEB-2013,,19-FEB-2028,,,,,INE053F07579
734JK54,Jammu & Kashmir State,SG,100,100,100,7.34,31-MAY-2024,,29-MAY-2054,,,,,IN4920240038
734KA34,Karnataka State,SG,100,100,100,7.34,09-JAN-2026,,07-JAN-2034,,,,,IN1920250082
734KL55,Kerala State,SG,100,100,100,7.34,31-MAY-2024,,29-MAY-2055,,,,,IN2020240049
734MH31,Maharashtra State,SG,100,100,100,7.34,16-JUN-2023,,14-JUN-2031,,,,,IN2220230071
734MN32,Manipur State,SG,100,100,100,7.34,11-FEB-2022,,09-FEB-2032,,,,,IN2320210098
734MN32A,Manipur State,SG,100,100,100,7.34,01-APR-2022,,30-MAR-2032,,,,,IN2320210106
734NL32,Nagaland State,SG,100,100,100,7.34,01-APR-2022,,30-MAR-2032,,,,,IN2620210079
734NRL35,Numaligarh Refinery Limited,N0,100000,100000,1,7.34,26-SEP-2025,,23-SEP-2035,,,,,INE152D08010
734OR33,Orissa State,SG,100,100,100,7.34,30-JAN-2026,,28-JAN-2033,,,,,IN2720250157
734PN32,Punjab State,SG,100,100,100,7.34,02-AUG-2024,,31-JUL-2032,,,,,IN2820240165
734PN35,Punjab State,SG,100,100,100,7.34,02-AUG-2024,,31-JUL-2035,,,,,IN2820240173
734RJ33,Rajasthan State,SG,100,100,100,7.34,26-MAY-2023,,24-MAY-2033,,,,,IN2920230058
734RJ33A,Rajasthan State,SG,100,100,100,7.34,09-JUN-2023,,07-JUN-2033,,,,,IN2920230082
734RJ34,Rajasthan State,SG,100,100,100,7.34,28-JUN-2024,,26-JUN-2034,,,,,IN2920240149
734RJ45,Rajasthan State,SG,100,100,100,7.34,31-MAY-2024,,29-MAY-2045,,,,,IN2920240107
734RJ45A,Rajasthan State,SG,100,100,100,7.34,02-AUG-2024,,31-JUL-2045,,,,,IN2920240214
734RL30,REC Limited,N0,100000,100000,1,7.34,12-NOV-2024,,30-APR-2030,,,,,INE020B08FL9
734SIDBI29,Small Industries Development Bank of India,N0,100000,100000,1,7.34,30-SEP-2024,,26-FEB-2029,,,,,INE556F08KS8
734TN29,Tamilnadu State,SG,100,100,100,7.34,31-MAY-2024,,29-MAY-2029,,,,,IN3120240061
734TN34,Tamilnadu State,SG,100,100,100,7.34,26-JUL-2024,,24-JUL-2034,,,,,IN3120240160
734TN34A,Tamilnadu State,SG,100,100,100,7.34,29-DEC-2025,,24-DEC-2034,,,,,IN3120250532
734TN43,Tamilnadu State,SG,100,100,100,7.34,23-JUN-2023,,21-JUN-2043,,,,,IN3120230104
734TR36,Tripura State,SG,100,100,100,7.34,26-FEB-2021,,24-FEB-2036,,,,,IN3220200056
734TS34,Telangana State,SG,100,100,100,7.34,21-JAN-2022,,19-JAN-2034,,,,,IN4520210241
734TS35,Telangana State,SG,100,100,100,7.34,21-MAR-2022,,16-MAR-2035,,,,,IN4520210282
734TS37,Telangana State,SG,100,100,100,7.34,26-JUL-2024,,24-JUL-2037,,,,,IN4520240180
734TS38,Telangana State,SG,100,100,100,7.34,28-NOV-2025,,26-NOV-2038,,,,,IN4520250528
734TS44,Telangana State,SG,100,100,100,7.34,21-JUL-2023,,19-JUL-2044,,,,,IN4520230140
734TS46,Telangana State,SG,100,100,100,7.34,21-JUL-2023,,19-JUL-2046,,,,,IN4520230157
734UCL28,UltraTech Cement Limited,N0,100000,100000,1,7.34,07-MAR-2025,,03-MAR-2028,,,,,INE481G08123
734UCL30,UltraTech Cement Limited,N0,100000,100000,1,7.34,07-MAR-2025,,05-MAR-2030,,,,,INE481G08115
734UK32,Uttarakhand State,SG,100,100,100,7.34,01-APR-2022,,30-MAR-2032,,,,,IN3620210051
734UP32,Uttar Pradesh State,SG,100,100,100,7.34,01-APR-2022,,30-MAR-2032,,,,,IN3320210237
734WB39,West Bengal State,SG,100,100,100,7.34,28-JUN-2024,,26-JUN-2039,,,,,IN3420240027
734WB42,West Bengal State,SG,100,100,100,7.34,28-JUN-2024,,26-JUN-2042,,,,,IN4520240131
735AP36,Andhra Pradesh State,SG,100,100,100,7.35,05-DEC-2025,,03-DEC-2036,,,,,IN1020250370
735AP39,Andhra Pradesh State,SG,100,100,100,7.35,19-MAY-2023,,17-MAY-2039,,,,,IN1020230125
735AP40,Andhra Pradesh State,SG,100,100,100,7.35,23-JUN-2023,,21-JUN-2040,,,,,IN1020230257
735AS39,Assam State,SG,100,100,100,7.35,26-JUL-2024,,24-JUL-2039,,,,,IN1220240049
735BTL27,Bharti Telecom Limited,N0,100000,100000,1,7.35,20-OCT-2025,,15-OCT-2027,,,,,INE403D08272
735CG30,Chattisgarh State,SG,100,100,100,7.35,27-JUL-2020,,31-MAR-2030,,,,,IN3520190098
735EXIM28,Export Import Bank of India,N0,100000,100000,1,7.35,29-JAN-2025,,27-JUL-2028,,,,,INE514E08GE8
735GJ26,Gujarat State,SG,100,100,100,7.35,27-MAR-2023,,23-MAR-2026,,,,,IN1520220303
735HP34,Himachal Pradesh State,SG,100,100,100,7.35,22-JUL-2024,,18-JUL-2034,,,,,IN1720240051
735HR33,Haryana State,SG,100,100,100,7.35,26-MAY-2023,,24-MAY-2033,,,,,IN1620230053
735HR39,Haryana State,SG,100,100,100,7.35,31-OCT-2025,,29-OCT-2039,,,,,IN1620250226
735IRFC31,Indian Railway Finance Corporation Limited,NM,1000,1000,1,7.35,28-MAR-2016,,22-MAR-2031,,,,,INE053F07884
735JH38,Jharkhand State,SG,100,100,100,7.35,21-MAR-2022,,16-MAR-2038,,,,,IN3720210043
735JK40,Jammu & Kashmir State,SG,100,100,100,7.35,18-AUG-2025,,13-AUG-2040,,,,,IN4920250102
